Horários,Segunda,Terça,Quarta,Quinta,Sexta
07h00-07h55,,,,,
07h55-08h50,Programação Orientada a Objetos.2,Métodos Matemáticos para Análise de Dados.2,Algoritmos em Grafos.2,Engenharia de Software I.1,Algoritmos em Grafos.1
08h50-09h45,Programação Orientada a Objetos.2,Métodos Matemáticos para Análise de Dados.2,Algoritmos em Grafos.2,Engenharia de Software I.1,Algoritmos em Grafos.1
10h10-11h05,Algoritmos e Estrutura de Dados II.1,,,Métodos Matemáticos para Análise de Dados.1,Programação Orientada a Objetos.1
11h05-12h00,Algoritmos e Estrutura de Dados II.1,,,Métodos Matemáticos para Análise de Dados.1,Programação Orientada a Objetos.1
13h30-14h25,,,Sistemas Operacionais.2,Sistemas Operacionais.1,
14h25-15h20,,,Sistemas Operacionais.2,Sistemas Operacionais.1,
15h45-16h40,,Algoritmos e Estrutura de Dados II.2,,Engenharia de Software I.2,
16h40-17h35,,Algoritmos e Estrutura de Dados II.2,,Engenharia de Software I.2,
17h35-18h30,,,,,
19h00-19h50,,,,,
19h50-20h40,,,,,
21h00-21h50,,,,,
21h50-22h40,,,,,
22h40-23h30,,,,,
